time="2024-03-15T01:58:34Z" level=info msg="Start processing" resource=argocd/argocd-apps
time="2024-03-15T01:58:34Z" level=info msg="Processing completed" resource=argocd/argocd-apps
time="2024-03-15T01:58:35Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:35Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:35Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:35Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:35Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:35Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:35Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:35Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:35Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:35Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:35Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:35Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:35Z" level=info msg="Start processing" resource=argocd/prometheus
time="2024-03-15T01:58:35Z" level=info msg="Processing completed" resource=argocd/prometheus
time="2024-03-15T01:58:38Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:38Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:38Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:38Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:38Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:38Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:38Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:38Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:38Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:38Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:40Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:40Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:40Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:40Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:40Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:40Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:40Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:40Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:40Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:40Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:40Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:40Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:43Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:43Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:43Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:43Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:43Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:43Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:43Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:43Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:43Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:43Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:45Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:45Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:45Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:45Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:45Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:45Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:45Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:45Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:45Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:45Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:45Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:45Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:48Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:48Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:48Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:48Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:48Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:48Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:48Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:48Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:48Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:48Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:50Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:50Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:50Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:50Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:50Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:50Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:50Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:50Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:50Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:50Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:50Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:50Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:53Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:53Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:53Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:53Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:53Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:53Z" level=info msg="Processing completed" resource=argocd/basic-app-set
